gene	025_08	024_08	025_09	022_06	006_09	013_09	022_09	004_06	001_06	009_09	004_08	031_08	018_06	020_08	023_09	016_07	023_08	039_06	037_08	015_09	016_09	011_09	015_07	018_08	035_06	017_07	012_09	026_09	014_09	017_09	005_09	032_08	021_09	033_08	007_09	016_08	026_08	028_08	030_06	018_05	034_07	032_09	029_09	022_08	036_09	038_09	027_09	033_09	014_08	030_09	003_08	009_07	035_09	017_08	034_06	020_07	007_08	034_08	034_09	031_09	028_09	002_08	004_10	011_10	001_10	006_10	012_10	008_10	010_10	002_10	007_10	024_10	023_10	016_10	028_10	013_10	014_10	015_10	019_10	032_10	018_10	021_10	020_10
X3667281	7.12008	7.11411	6.81344	7.11304	7.25914	7.31331	7.21088	7.06073	6.90972	6.88177	7.14126	7.01903	7.09669	7.00925	6.85419	7.17039	6.90636	6.9435	6.96828	7.13573	7.09487	7.07877	7.23368	6.98008	6.84207	7.04742	7.0354	7.07739	7.14325	7.11243	7.28324	7.18266	6.89449	6.95047	7.02569	7.12757	7.23216	7.01104	6.99415	7.16407	7.02226	7.03853	7.00388	6.95348	6.92526	6.94892	6.9874	6.90548	6.86974	7.15825	7.10669	6.91587	6.85986	6.82496	6.98903	6.86881	7.13741	7.09758	7.10279	7.04239	6.8277	6.89546	7.14465	6.74235	7.08786	7.03351	6.96367	7.02858	6.99294	6.85026	7.12191	6.9857	7.00139	7.17535	7.03111	7.06199	7.17716	7.23019	6.90643	6.86742	7.13083	7.06895	6.93506
X3887107	4.64795	3.95417	3.76068	4.02348	3.96567	4.08024	4.03203	3.95475	3.25721	4.12821	4.13438	4.08461	4.14312	3.55268	4.06963	4.02559	3.63506	3.83778	4.13615	4.2224	4.46818	4.37212	3.99042	3.66232	4.14983	3.90971	4.31968	4.17329	4.41267	4.48223	4.10945	4.22413	3.97159	4.35598	4.12031	4.01866	4.39388	4.02805	4.24785	3.97702	4.05645	4.21887	3.7445	3.80044	4.31278	3.98459	4.03854	3.80139	3.70919	4.13717	4.29182	3.61884	4.07167	3.95066	4.07467	4.0093	3.8107	4.51016	4.28805	4.15619	4.31099	3.63897	4.2307	3.58162	3.94637	4.46789	4.09777	4.28503	4.05418	4.18573	4.00875	4.30113	3.89533	4.06726	4.24948	4.15583	3.79074	4.34659	4.33644	3.9811	3.84792	3.86559	4.05399
X3947123	7.17262	7.10538	6.97692	7.05733	7.10995	7.07979	7.06951	7.23142	6.85479	7.11003	7.16448	7.44359	7.27517	7.03789	7.13698	7.12604	6.91438	7.01263	6.9253	7.13214	7.18712	7.31667	7.26144	7.24773	6.98966	7.14996	7.26942	7.06735	7.3448	7.12406	7.1363	7.09797	7.18687	7.10946	7.08654	7.10557	7.24809	7.04005	6.79644	7.03195	6.95876	6.93294	7.31069	7.21854	6.93476	6.86308	7.08025	7.11603	6.93622	7.00214	7.07873	6.92295	7.18779	7.05446	7.06746	7.03822	6.85141	7.26274	7.25825	7.14588	7.1025	7.0689	6.99877	6.93362	6.98391	7.10498	6.93167	6.90639	7.03296	7.17073	7.2098	7.02317	6.94471	7.13901	7.11575	7.28294	7.01376	7.19362	7.24052	7.19875	7.15065	7.3037	7.16865
X3887165	5.0566	4.95949	4.79896	5.04218	4.95878	4.78197	4.73273	4.76919	4.52292	4.58171	4.94259	5.14046	4.69614	4.78486	4.57818	5.03774	4.67406	4.5016	4.97776	5.10597	5.19946	5.06947	4.92168	4.86581	4.72546	4.86409	4.88539	4.95519	5.24605	5.02401	5.22604	4.84407	4.74671	5.02487	4.98198	5.27531	5.48888	4.72733	4.99548	4.78016	5.02022	4.93271	4.82744	4.70807	4.65214	4.78878	4.82153	4.7283	4.69695	4.83053	4.66787	4.87467	4.65876	4.75357	4.81985	4.93088	4.82726	5.3496	5.10377	4.94132	4.70546	4.63494	4.801	4.48119	4.69326	4.67578	4.9018	4.76455	4.76772	4.71156	4.80745	4.80122	4.94298	5.06183	4.96154	4.97387	4.68864	5.00794	4.77956	4.77082	4.98573	4.97819	4.91754
X3837232	5.37983	5.36224	5.49959	4.65103	4.94074	5.19823	4.99821	4.92872	5.09399	4.83338	4.79531	4.99211	5.04302	4.99962	5.02769	4.92828	4.51699	4.58747	5.05253	5.50239	5.46681	5.9916	5.63057	5.2569	4.81997	5.31734	5.46857	4.75145	5.57873	5.39691	5.52077	5.35482	5.11023	5.65458	5.19927	5.91989	6.03701	5.14008	5.74894	4.88155	4.80613	5.27498	5.44436	5.27469	4.85064	5.35386	4.88198	5.36085	5.24341	5.37416	5.09726	4.89911	5.45452	5.22936	5.12611	5.15983	4.73747	5.96347	5.80697	4.94052	5.1465	4.64975	4.95002	4.72926	5.09402	5.02989	5.25752	5.39151	5.43438	5.53723	5.04203	5.00785	4.91653	4.7308	5.3149	4.96408	5.09665	5.04652	4.94413	4.9502	4.8432	4.90145	5.24617
X3557572	5.01073	4.64935	5.19429	4.75985	5.02367	4.91407	4.88228	4.66562	4.45305	4.7457	4.92328	5.03894	4.51238	5.18811	4.79868	4.71705	4.13553	4.80309	4.8574	4.93536	5.42557	5.25766	5.32002	4.95127	4.81005	5.16169	4.99535	4.72137	5.41486	5.25781	5.1654	5.07935	5.20097	4.80417	5.12981	5.31191	5.13031	5.42627	5.26596	4.56446	4.59863	4.93102	5.17552	4.5742	5.11308	5.25737	4.855	4.77334	5.15407	4.96842	5.11257	5.16933	5.29049	4.84279	4.84478	4.93788	4.5936	5.36149	4.90597	5.2807	5.20203	5.01265	4.7795	5.00074	4.94831	4.94665	5.24641	5.02361	4.94575	5.31994	4.84566	5.04991	4.80011	5.03883	5.13956	5.00818	5.03215	4.87906	4.76312	4.93015	4.47558	4.89819	5.20203
X3862785	4.24115	4.05469	3.94837	4.78122	4.13862	3.9019	4.03757	4.06283	4.10054	4.11816	3.99518	4.50973	4.13653	4.58413	3.82001	4.3682	3.28447	3.48656	4.00292	4.65268	5.22565	4.65972	4.5804	4.19443	4.54293	4.14785	4.59724	3.78142	4.67417	4.75773	5.24386	4.70461	3.73784	4.38332	4.55083	4.48971	5.05908	3.69843	4.35302	3.66804	3.91221	4.25403	4.51282	4.55502	4.69603	4.24227	3.97271	4.29748	4.46971	4.01996	3.90485	4.90856	3.80682	4.69283	4.29521	4.53275	3.93162	4.56796	4.3479	4.19912	4.01432	4.42456	3.94456	3.84867	4.09885	4.16554	4.10195	4.15343	4.66268	3.96598	3.81346	4.15448	4.59353	4.02274	4.7617	4.16304	4.42969	4.011	4.19949	3.94119	4.39159	4.64644	4.44559
X3837372	5.32413	5.28576	5.1685	5.15995	5.4799	5.13172	5.10051	5.16493	5.27128	5.09998	5.52242	5.68727	5.4979	5.32319	4.89621	5.1743	4.85598	4.91153	4.86445	5.31623	5.61414	5.78704	6.04799	5.27972	5.12172	5.21242	5.44308	4.77392	5.87477	5.44926	5.85485	5.57596	5.80104	5.4921	5.358	5.3893	5.89175	5.20819	5.28958	5.36459	5.2106	5.41518	5.49739	5.11628	4.96147	5.11437	5.04089	5.26615	4.91911	5.37317	5.29862	5.74081	5.25755	5.09243	5.30758	5.22909	5.19536	5.68375	5.97818	5.27541	5.10964	5.25849	5.39066	5.1161	5.21509	5.44905	5.33054	5.32158	5.40297	5.2366	5.0171	5.05082	5.47962	5.36979	5.48697	5.33566	5.5581	5.42933	5.27353	4.98503	5.16993	5.5584	5.51385
X3752888	5.38705	4.6287	4.58552	4.31447	4.60165	4.76532	4.87311	4.87567	4.01579	4.67552	4.99075	4.74709	4.69588	4.73627	4.43195	4.64148	4.25623	5.00459	4.32331	4.91645	5.04433	5.0753	5.08387	4.46297	4.57151	4.78147	4.93838	4.90619	5.02986	5.05732	4.79804	4.82873	5.09234	4.68757	5.0537	4.90635	4.96907	4.60201	5.17219	4.93951	4.52642	4.65659	4.88464	4.61299	5.11051	4.73177	4.646	4.67965	4.59649	4.78941	4.99549	4.53903	4.60659	4.50755	5.03863	4.51713	4.94629	4.74444	5.04652	4.7689	4.52211	4.54768	5.26334	4.15435	4.8787	5.08831	4.66691	4.82462	4.89376	4.54069	4.76434	5.0433	4.46224	4.92724	4.86572	4.7192	5.1342	4.68246	4.93956	4.67478	4.58297	4.30385	4.5762
X3337835	3.99658	3.86753	3.78555	3.72138	3.68557	3.73415	3.76067	3.72354	3.68963	3.66458	3.7241	3.68724	3.9255	3.80414	3.47391	3.77483	3.39896	3.83197	3.71686	3.86737	3.68917	3.74245	3.85227	3.75495	3.57856	3.61111	3.57877	3.70342	4.12317	4.06665	3.77753	3.91278	3.71243	3.80325	3.84849	4.20156	3.83087	3.75072	3.8478	3.71075	3.92489	3.85978	3.78569	3.6698	3.77433	3.68169	3.67396	3.69002	3.65422	3.67388	3.69699	3.61538	3.9356	3.77121	3.50226	3.70318	3.7722	3.94458	4.00923	3.76441	3.81929	3.71809	3.83206	3.62558	3.7416	3.8423	3.55817	3.70194	3.56707	3.72755	3.6197	3.89685	3.83922	3.56097	3.74264	3.83017	3.93409	4.06726	3.65339	3.73151	3.86171	3.80772	3.7302
