"Regulator_ENSG","Target_ENSG","MI","pvalue","Target_symbol","Regulator_symbol"
"ENSG00000103510","ENSG00000105245",0.422272778899891,0,"NUMBL","KAT8"
"ENSG00000103510","ENSG00000105248",0.320115384598657,2.55205989674323e-08,"YJU2","KAT8"
"ENSG00000172534","ENSG00000137073",0.404644603859556,0,"UBAP2","HCFC1"
"ENSG00000187778","ENSG00000213246",0.393002008026707,0,"SUPT4H1","MCRS1"
"ENSG00000187778","ENSG00000125505",0.473329685676672,0,"MBOAT7","MCRS1"
"ENSG00000103510","ENSG00000267216",0.411498449380343,0,"AC010642.1","KAT8"
"ENSG00000103510","ENSG00000267219",0.325991831485537,0,"AC010504.2","KAT8"
"ENSG00000103510","ENSG00000105254",0.335098486817855,0,"TBCB","KAT8"
"ENSG00000187778","ENSG00000090432",0.387543361300183,0,"MUL1","MCRS1"
"ENSG00000172534","ENSG00000224722",0.380235497099335,0,"RP11-255B23.1","HCFC1"
"ENSG00000147162","ENSG00000142609",0.329870754344978,0,"CFAP74","OGT"
"ENSG00000196363","ENSG00000185024",0.527645017107028,0,"BRF1","WDR5"
"ENSG00000187778","ENSG00000227879",0.321874484075229,0,"PSPC1P1","MCRS1"
"ENSG00000187778","ENSG00000077463",0.407664335246722,0.000430881465500743,"SIRT6","MCRS1"
"ENSG00000196363","ENSG00000161091",0.569426917348667,0,"MFSD12","WDR5"
"ENSG00000147162","ENSG00000104361",0.441245692714806,0,"NIPAL2","OGT"
"ENSG00000120071","ENSG00000108671",0.436140362992232,0,"PSMD11","KANSL1"
"ENSG00000196363","ENSG00000198373",0.461407916454353,0,"WWP2","WDR5"
"ENSG00000187778","ENSG00000065491",0.545798974168516,0,"TBC1D22B","MCRS1"
"ENSG00000187778","ENSG00000100220",0.473434060910712,0,"RTCB","MCRS1"
"ENSG00000187778","ENSG00000240889",0.38925294747981,0,"NDUFB2-AS1","MCRS1"
"ENSG00000120071","ENSG00000110987",0.467369049345816,0,"BCL7A","KANSL1"
"ENSG00000187778","ENSG00000004487",0.481021465409301,0,"KDM1A","MCRS1"
