Regulator	Target	MI	pvalue
X4026956	X3352070	0.3812853300453585	0.0
X4026956	X3662924	0.3749373586134009	0.0
X4026956	X3913183	0.35870876654601613	0.0
X3453882	X3335517	0.360293822959842	6.37207195808287E-6
X4026956	X3231846	0.37470161873590996	0.0
X4026956	X3893796	0.3853095371385797	0.0
X4026956	X3838947	0.3510813931903793	0.0
X3656855	X3823842	0.3599663102969116	0.0
X4026956	X3335517	0.3573511151822425	1.8052604315244025E-4
X4026956	X3834599	0.4019715196341183	0.0
X4026956	X3254521	0.3551845158528792	0.0
X3453882	X3634256	0.3907818450312332	0.0
X3760137	X3820921	0.35504395662568067	0.0
X4026956	X3336857	0.3932804017615432	0.0
X3760137	X3943101	0.3839029837533407	0.0
X3453882	X3834778	0.3664672687651451	0.0020323909730315393
X4026956	X3695867	0.3724166890550321	0.0
X4026956	X3740264	0.374392549301219	0.0
X3656855	X3708704	0.3770768232365391	0.0
X3760137	X3654859	0.39290174981895176	0.0
X3760137	X3832918	0.3770855494413742	0.0
X4026956	X3271910	0.4259681876546441	0.0
X4026956	X3191900	0.3899701061500972	0.0
X4026956	X3832918	0.46992408531421287	0.0
X4026956	X3381540	0.3894403181308379	0.0
X4026956	X2906824	0.35686683050262846	0.0
X4026956	X3981959	0.367067091520259	0.0
X4026956	X3435008	0.3780851031890571	0.0
X3760137	X3551303	0.3901267055775085	0.0
X4026956	X3824497	0.35712047197110885	0.0
X4026956	X3865807	0.4811473271097355	0.0
X4026956	X3743393	0.3916469591561038	0.0
X3760137	X3846011	0.3777857590488631	0.0
X3760137	X3751184	0.3553897960290088	0.0
X4026956	X3862785	0.3663652990946053	4.305888978706207E-12
X4026956	X3963289	0.3984242464615082	0.0
X3453882	X3378007	0.35936400424509557	2.2641063239348114E-5
X4026956	X3373962	0.3731796530911578	0.0
X3760137	X3922921	0.35737003066044687	0.0
X3453882	X3940001	0.37063637497667795	0.0
X4026956	X3820921	0.38576541117795543	0.0
X4026956	X3946762	0.4526255702004872	0.0
X3453882	X3468862	0.36660822153364153	0.0
X4026956	X3864597	0.37604604567497474	0.0
X3656855	X3335338	0.35228718384822655	0.0
X3760137	X4007765	0.3617015198085198	1.8052604315244025E-4
X4026956	X3687308	0.39568311250801297	0.0
X3453882	X3903836	0.3737333485407005	0.0
X3760137	X3471588	0.38791017926587357	0.0
X3760137	X3720896	0.365466877443343	1.3301608703386592E-9
X3760137	X3656682	0.354891849420336	0.0
X3760137	X3751121	0.3566390582998972	0.0
X3453882	X3476457	0.3726661862014123	0.0
X3760137	X3853193	0.3589296703279048	2.0793966761800675E-6
X3760137	X3601229	0.3609176986733812	0.0
X3453882	X3442205	0.3657305155007736	0.0
X4026956	X3852584	0.37329156407235625	0.0
X4026956	X3852586	0.47462719819480753	0.0
X3453882	X3676763	0.37457831518264506	3.516475999276736E-10
X3760137	X3738138	0.3614889675581784	4.134191286091493E-4
X3760137	X3690597	0.35999084149749283	0.0
X3656855	X3551303	0.3687177510467538	0.0
X4026956	X3315265	0.39551431792448716	0.0
X3760137	X3822805	0.3621700741620284	0.0
X4026956	X3753690	0.3764640860881387	0.0
X4026956	X3677913	0.38203635238650907	0.0
X3760137	X4005065	0.3627178638244761	0.0
X3760137	X3349535	0.36310659825062114	4.134191286091493E-4
X4026956	X4012122	0.3787237332226451	0.0
X4026956	X3834674	0.5039011803958943	0.0
X4026956	X3674886	0.43125454602653834	0.0
X3656855	X3952453	0.3806995733097443	0.0
X3760137	X3474697	0.3651126674606674	0.0
X4026956	X3482977	0.3724934755106441	0.0
X4026956	X3887165	0.38386020772717105	0.0
X3760137	X3720921	0.35057837340621517	0.0
X3656855	X3226369	0.38539422640332094	0.0
X3453882	X3923436	0.37374487502355497	0.0
X3656855	X3335404	0.37010626686554216	0.0
X3453882	X3841134	0.36725598766084655	0.0
X3760137	X3841134	0.3816047660141536	0.0
X3656855	X3676763	0.36320563566499214	0.0
X4026956	X3977083	0.36883025862001984	0.0
X3453882	X3545564	0.3720158924269837	7.89838214313221E-4
X3656855	X3398145	0.3613444838890038	3.508874558697528E-4
X4026956	X3844897	0.3949444091166979	0.0
X4026956	X3719718	0.367265420944936	0.0
X4026956	X3847959	0.37749234939672566	0.0
X3760137	X3756046	0.3769485155633073	0.0
X3453882	X3062523	0.37441842768606565	0.0
X3453882	X3819200	0.38622091593457675	0.0
X4026956	X3456700	0.3879721712469393	0.0
X4026956	X3816815	0.36928703832607307	0.0
X4026956	X3335600	0.3763249438162445	0.0
X4026956	X3742130	0.3842483786109958	0.0
X4026956	X3735847	0.3561261224580473	0.0
X4026956	X3262279	0.41713116110176335	0.0
X4026956	X3872969	0.4439998865657645	0.0
X3760137	X3294816	0.37540381472953455	0.0
X3760137	X3336277	0.34769805494236977	0.0
X4026956	X3673515	0.35725993626377944	0.0
X4026956	X3335643	0.35548033237766846	0.0
X4026956	X3230697	0.3704595023558033	0.0
X4026956	X4009315	0.4173322964200826	0.0
X3760137	X3980835	0.37635339530875417	0.0
X4026956	X3909843	0.3904088298959889	0.0
X3760137	X3442205	0.36097602580058835	0.0
X4026956	X3837759	0.37386713348539363	0.0
X4026956	X3816834	0.3498427650402096	1.1436082303362127E-8
X3656855	X3957260	0.36030872064960967	0.0
X3453882	X3226369	0.369108864332563	0.0
X4026956	X3836156	0.41469401758021823	0.0
X4026956	X3883382	0.3654082091019011	0.0
X3453882	X3850960	0.3606648774959781	0.0
X3760137	X3151970	0.3608360708419331	0.0
X3453882	X3687308	0.3776931468648594	0.0
X4026956	X3441849	0.372576428858032	5.7053028967857244E-11
X3453882	X3798282	0.3665669595381563	0.0
X3760137	X3687452	0.3797955995616019	0.0
X4026956	X3960098	0.3889968803919147	0.0
X3453882	X3868283	0.371540358380226	0.0
X3760137	X3838947	0.36669421843740535	0.0
X4026956	X4007689	0.34366602227613313	6.492472041585984E-5
X4026956	X3938175	0.3721342637904407	0.0
X4026956	X3946615	0.4225152156629384	0.0
X3656855	X3819505	0.3634866258636352	0.0
X4026956	X3555817	0.37278986977410045	0.0
X4026956	X3661940	0.36763310092369017	0.0
X3453882	X3939125	0.37607789588586343	0.0
X3453882	X3846011	0.3593116462355585	0.0
X4026956	X3403539	0.39990701739417994	0.0
X3453882	X3677913	0.37461639070633274	0.0
X3760137	X3158516	0.3658673517543394	0.0
X3760137	X3888383	0.3749258571236784	0.0
X4026956	X3960930	0.4235639525257404	0.0
X3760137	X3823842	0.3626613490295004	0.0
X3760137	X3847814	0.3588350840031956	0.0
X3656855	X3851651	0.36760342845943134	2.6418781828851934E-8
X4026956	X3336277	0.4140980282195992	0.0
X4026956	X3830002	0.3736463351406731	0.0
X4026956	X3329983	0.3723574403870226	0.0
X3656855	X3381540	0.3616575810169513	0.014153152854774476
X4026956	X3127278	0.35384273243103537	0.0037508828752628176
X4026956	X3631214	0.3591406624145728	0.0
X4026956	X2659814	0.37860538143789746	0.0
X3760137	X3748026	0.3602607157757572	0.0
X3760137	X3372097	0.3624472716141717	0.0
X3453882	X3818897	0.3856815630871029	0.0
X3760137	X3665288	0.39398545522571554	0.0
X3453882	X3957873	0.3687101854896291	0.0
X3760137	X3377789	0.3741421763545758	0.0
X3760137	X3656362	0.37880986616209467	0.0
X3760137	X3763656	0.37567652609210306	0.0
X4026956	X3945396	0.3807862220389519	0.0
X4026956	X3903525	0.366234824070666	0.0
X4026956	X3696571	0.38637175468219404	0.0
X3656855	X3677795	0.3630325742068866	0.0
X3453882	X3349535	0.3789219860765461	0.0
X3760137	X3865673	0.3631552675705573	0.0
X4026956	X3937787	0.3667223386477496	0.0
X4026956	X3868531	0.3623657905233361	0.024965546873460198
X4026956	X3332615	0.38603078464979934	0.0
X3760137	X3737488	0.37951908502233184	0.0
X4026956	X3226661	0.4066340726870322	0.0
X3760137	X3771336	0.3673195883081844	0.0
X4026956	X3442205	0.42266115374102853	0.0
X4026956	X3928866	0.40571142612541555	0.0
X4026956	X3476457	0.5352986143037431	0.0
X3656855	X3333116	0.34901575723397227	4.401888055838299E-6
X4026956	X4010473	0.36301259392316404	0.0
X3760137	X3704513	0.3580578404765275	0.0
X4026956	X3814701	0.3737230159955981	0.0
X3656855	X3334415	0.3688651331303446	0.0
X4026956	X3865464	0.37086012443504546	0.0
X3656855	X3190822	0.35300422443258417	0.0
X3656855	X3677752	0.3587167204849706	0.0
X4026956	X3914230	0.3786581540529267	0.0
X4026956	X3947123	0.3719392330887816	0.0
X3656855	X4012122	0.3650571088617583	3.653974516737435E-6
X3656855	X3434525	0.35612943203620656	1.786943926163076E-10
X3453882	X3317915	0.371228265879007	0.0
X3760137	X3191900	0.37504748080882144	0.0
X3453882	X3333116	0.37791103538984405	0.0
X4026956	X3851703	0.36828552677077514	0.0
X3453882	X3831006	0.393285809156365	0.0
X4026956	X3512719	0.37742717770876355	0.0
X4026956	X3838757	0.41626735526667513	0.0
X3656855	X3398482	0.35418257295167405	9.046888038710676E-8
X4026956	X3962799	0.35544144059346405	0.037864073529526365
X3760137	X3434987	0.3626958288295288	0.0
X4026956	X3837431	0.3722420991052957	0.0
X3760137	X3335089	0.3629128679025574	0.0
X4026956	X3335736	0.36984011933238387	0.0
X4026956	X3634256	0.40344582880432084	0.0
X4026956	X3655172	0.3756698762376285	0.0
X4026956	X3334415	0.39751988199492866	0.0
X4026956	X3378007	0.3602553338648157	0.0
X4026956	X3317915	0.3720405913069518	0.0
X4026956	X3126739	0.4085955339892177	0.0
X3760137	X3230024	0.36627537094043255	0.0
X4026956	X3838701	0.3950576365944503	0.0
